                Time               Speed           Elevation     Air Temperature        Air Pressure         Air Density          Drag Force        Thrust Force     Propellant Left
                   0                   0                   0              303.15              101000             1.18209                   0              753000               80000
                   1             9.43028             9.43028              208.15             67702.3             1.15402             5.13139              776308               79700
                   2             19.4809             28.9111              208.15             67702.3             1.15402             21.8978              776308               79400
                   3             29.2767             58.1878              208.15             67702.3             1.15402             49.4571              776308               79100
                   4             39.1094             97.2972              208.15             67702.3             1.15402             88.2566              776308               78800
                   5             48.9799             146.277              208.15             67702.3             1.15402             138.427              776308               78500
                   6             58.8881             205.165              208.15             67702.3             1.15402             200.097              776308               78200
                   7             68.8344                 274              208.15             67702.3             1.15402             273.399              776308               77900
                   8              78.819             352.819              208.15             67702.3             1.15402             358.465              776308               77600
                   9             88.8424             441.661              208.15             67702.3             1.15402             455.434              776308               77300
                  10             98.9048             540.566              208.15             67702.3             1.15402             564.443              776308               77000
                  11             109.006             649.572              208.15             67702.3             1.15402              685.63              776308               76700
                  12             119.148              768.72              208.15             67702.3             1.15402             819.137              776308               76400
                  13             129.329             898.049              208.15             67702.3             1.15402             965.105              776308               76100
                  14              139.55              1037.6              208.15             67702.3             1.15402             1123.69              776308               75800
                  15             149.812             1187.41              208.15             67702.3             1.15402             1295.02              776308               75500
                  16             160.115             1347.53              208.15             67702.3             1.15402             1479.27              776308               75200
                  17             170.459             1517.98              208.15             67702.3             1.15402             1676.57              776308               74900
                  18             180.844             1698.83              208.15             67702.3             1.15402             1887.09              776308               74600
                  19             191.271              1890.1              208.15             67702.3             1.15402             2110.98              776308               74300
                  20             201.741             2091.84              208.15             67702.3             1.15402              2348.4              776308               74000
                  21             212.253             2304.09              208.15             67702.3             1.15402             2599.51              776308               73700
                  22             222.807              2526.9              208.15             67702.3             1.15402             2864.47              776308               73400
                  23             233.406              2760.3              208.15             67702.3             1.15402             3143.46              776308               73100
                  24             244.047             3004.35              208.15             67702.3             1.15402             3436.63              776308               72800
                  25             254.733             3259.08              208.15             67702.3             1.15402             3744.16              776308               72500
                  26             265.463             3524.55              208.15             67702.3             1.15402             4066.24              776308               72200
                  27             276.237             3800.79              208.15             67702.3             1.15402             4403.01              776308               71900
                  28             287.057             4087.84              208.15             67702.3             1.15402             4754.68              776308               71600
                  29             297.922             4385.76              208.15             67702.3             1.15402             5121.42              776308               71300
                  30             308.833              4694.6              208.15             67702.3             1.15402             5503.42              776308               71000
                  31              319.79             5014.39              208.15             67702.3             1.15402             5900.86              776308               70700
                  32             330.794             5345.18              208.15             67702.3             1.15402             6313.93              776308               70400
                  33             341.844             5687.02              208.15             67702.3             1.15402             6742.82              776308               70100
                  34             352.942             6039.97              208.15             67702.3             1.15402             7187.74              776308               69800
                  35             364.088             6404.06              208.15             67702.3             1.15402              7648.9              776308               69500
                  36             375.282             6779.34              208.15             67702.3             1.15402             8126.46              776308               69200
                  37             386.525             7165.86              208.15             67702.3             1.15402             8620.66              776308               68900
                  38             397.817             7563.68              208.15             67702.3             1.15402              9131.7              776308               68600
                  39             409.158             7972.84              208.15             67702.3             1.15402             9659.78              776308               68300
                  40             420.549             8393.39              208.15             67702.3             1.15402             10205.1              776308               68000
                  41             431.991             8825.38              208.15             67702.3             1.15402               10768              776308               67700
                  42             443.483             9268.86              208.15             67702.3             1.15402             11348.5              776308               67400
                  43             455.027             9723.89              208.15             67702.3             1.15402               11947              776308               67100
                  44             466.622             10190.5              208.15             67702.3             1.15402             12563.7              776308               66800
                  45              478.27             10668.8              208.15             67702.3             1.15402             13198.7              776308               66500
                  46              489.97             11158.8              208.15             67702.3             1.15402             13852.4              776308               66200
                  47             501.723             11660.5              208.15             67702.3             1.15402             14524.9              776308               65900
                  48              513.53               12174              208.15             67702.3             1.15402             15216.6              776308               65600
                  49             525.391             12699.4              208.15             67702.3             1.15402             15927.6              776308               65300
                  50             537.307             13236.7              208.15             67702.3             1.15402             16658.3              776308               65000
                  51             549.278               13786              208.15             67702.3             1.15402             17408.8              776308               64700
                  52             561.305             14347.3              208.15             67702.3             1.15402             18179.5              776308               64400
                  53             573.387             14920.7              208.15             67702.3             1.15402             18970.6              776308               64100
                  54             585.527             15506.2              208.15             67702.3             1.15402             19782.4              776308               63800
                  55             597.723             16103.9              208.15             67702.3             1.15402             20615.1              776308               63500
                  56             609.977             16713.9              208.15             67702.3             1.15402               21469              776308               63200
                  57              622.29             17336.2              208.15             67702.3             1.15402             22344.5              776308               62900
                  58             634.661             17970.9              208.15             67702.3             1.15402             23241.8              776308               62600
                  59             647.092             18617.9              208.15             67702.3             1.15402             24161.1              776308               62300
                  60             659.583             19277.5              208.15             67702.3             1.15402             25102.9              776308               62000
                  61             672.135             19949.7              208.15             67702.3             1.15402             26067.4              776308               61700
                  62             684.747             20634.4              198.15             45382.2            0.812605             19050.7              791932               61400
                  63             711.458             21345.9              198.15             45382.2            0.812605             20565.9              791932               61100
                  64             724.451             22070.3              198.15             45382.2            0.812605               21324              791932               60800
                  65             737.509             22807.8              198.15             45382.2            0.812605             22099.6              791932               60500
                  66             750.631             23558.5              198.15             45382.2            0.812605               22893              791932               60200
                  67             763.819             24322.3              198.15             45382.2            0.812605             23704.5              791932               59900
                  68             777.073             25099.4              198.15             45382.2            0.812605             24534.3              791932               59600
                  69             790.394             25889.7              198.15             45382.2            0.812605             25382.7              791932               59300
                  70             803.783             26693.5              198.15             45382.2            0.812605             26249.9              791932               59000
                  71              817.24             27510.8              198.15             45382.2            0.812605             27136.2              791932               58700
                  72             830.765             28341.5              198.15             45382.2            0.812605             28041.8              791932               58400
                  73             844.361             29185.9              198.15             45382.2            0.812605             28967.2              791932               58100
                  74             858.027             30043.9              198.15             45382.2            0.812605             29912.4              791932               57800
                  75             871.764             30915.7              198.15             45382.2            0.812605             30877.9              791932               57500
                  76             885.572             31801.3              198.15             45382.2            0.812605             31863.8              791932               57200
                  77             899.454             32700.7              198.15             45382.2            0.812605             32870.6              791932               56900
                  78             913.409             33614.1              198.15             45382.2            0.812605             33898.4              791932               56600
                  79             927.437             34541.6              198.15             45382.2            0.812605             34947.7              791932               56300
                  80             941.541             35483.1              198.15             45382.2            0.812605             36018.7              791932               56000
                  81             955.721             36438.8              198.15             45382.2            0.812605             37111.8              791932               55700
                  82             969.977             37408.8              198.15             45382.2            0.812605             38227.2              791932               55400
                  83             984.311             38393.1              198.15             45382.2            0.812605             39365.4              791932               55100
                  84             998.723             39391.8              198.15             45382.2            0.812605             40526.6              791932               54800
                  85             1013.21             40405.1              188.15             30420.6            0.573656             29445.8              802405               54500
                  86             1041.38             41446.4              188.15             30420.6            0.573656             31105.5              802405               54200
                  87             1056.22             42502.7              188.15             30420.6            0.573656             31998.7              802405               53900
                  88             1071.15             43573.8              188.15             30420.6            0.573656             32909.6              802405               53600
                  89             1086.16               44660              188.15             30420.6            0.573656             33838.6              802405               53300
                  90             1101.26             45761.2              188.15             30420.6            0.573656             34785.8              802405               53000
                  91             1116.44             46877.7              188.15             30420.6            0.573656             35751.6              802405               52700
                  92             1131.71             48009.4              188.15             30420.6            0.573656             36736.2              802405               52400
                  93             1147.07             49156.5              188.15             30420.6            0.573656               37740              802405               52100
                  94             1162.52               50319              188.15             30420.6            0.573656             38763.2              802405               51800
                  95             1178.05               51497              188.15             30420.6            0.573656             39806.1              802405               51500
                  96             1193.68             52690.7              188.15             30420.6            0.573656             40869.2              802405               51200
                  97              1209.4             53900.1              188.15             30420.6            0.573656             41952.6              802405               50900
                  98             1225.21             55125.3              188.15             30420.6            0.573656             43056.7              802405               50600
                  99             1241.11             56366.4              188.15             30420.6            0.573656             44181.8              802405               50300
                 100             1257.11             57623.5              188.15             30420.6            0.573656             45328.3              802405               50000
                 101             1273.21             58896.7              188.15             30420.6            0.573656             46496.5              802405               49700
                 102              1289.4             60186.1              178.15             20391.5            0.406118             33759.7              809426               49400
                 103             1317.12             61503.3              178.15             20391.5            0.406118             35226.7              809426               49100
                 104             1333.65             62836.9              178.15             20391.5            0.406118             36116.7              809426               48800
                 105             1350.29             64187.2              178.15             20391.5            0.406118             37023.5              809426               48500
                 106             1367.03             65554.2              178.15             20391.5            0.406118             37947.2              809426               48200
                 107             1383.88             66938.1              178.15             20391.5            0.406118             38888.2              809426               47900
                 108             1400.83             68338.9              178.15             20391.5            0.406118             39846.8              809426               47600
                 109             1417.89             69756.8              178.15             20391.5            0.406118             40823.1              809426               47300
                 110             1435.06             71191.9              178.15             20391.5            0.406118             41817.7              809426               47000
                 111             1452.33             72644.2              178.15             20391.5            0.406118             42830.6              809426               46700
                 112             1469.72             74113.9              178.15             20391.5            0.406118             43862.4              809426               46400
                 113             1487.22             75601.2              178.15             20391.5            0.406118             44913.2              809426               46100
                 114             1504.84               77106              178.15             20391.5            0.406118             45983.4              809426               45800
                 115             1522.57             78628.6              178.15             20391.5            0.406118             47073.5              809426               45500
                 116             1540.42               80169              168.15             13668.9            0.288419             34219.2              814132               45200
                 117             1567.44             81736.4              168.15             13668.9            0.288419             35430.6              814132               44900
                 118             1585.64             83322.1              168.15             13668.9            0.288419             36257.8              814132               44600
                 119             1603.95               84926              168.15             13668.9            0.288419             37100.3              814132               44300
                 120             1622.39             86548.4              168.15             13668.9            0.288419             37958.2              814132               44000
                 121             1640.96             88189.4              168.15             13668.9            0.288419               38832              814132               43700
                 122             1659.65               89849              168.15             13668.9            0.288419             39721.8              814132               43400
                 123             1678.48             91527.5              168.15             13668.9            0.288419             40627.9              814132               43100
                 124             1697.43             93224.9              168.15             13668.9            0.288419             41550.8              814132               42800
                 125             1716.52             94941.5              168.15             13668.9            0.288419             42490.6              814132               42500
                 126             1735.75             96677.2              168.15             13668.9            0.288419             43447.6              814132               42200
                 127             1755.11             98432.3              168.15             13668.9            0.288419             44422.3              814132               41900
                 128             1774.61              100207              173.15             9162.51             0.18775             29563.4              817286               41600
                 129              1801.2              102008              173.15             9162.51             0.18775             30456.1              817286               41300
                 130             1821.06              103829              173.15             9162.51             0.18775             31131.5              817286               41000
                 131             1841.07              105670              173.15             9162.51             0.18775             31819.3              817286               40700
                 132             1861.22              107531              173.15             9162.51             0.18775             32519.8              817286               40400
                 133             1881.53              109413              173.15             9162.51             0.18775             33233.2              817286               40100
                 134             1901.99              111315              173.15             9162.51             0.18775             33959.8              817286               39800
                 135              1922.6              113238              173.15             9162.51             0.18775             34699.9              817286               39500
                 136             1943.37              115181              173.15             9162.51             0.18775             35453.7              817286               39200
                 137              1964.3              117145              173.15             9162.51             0.18775             36221.4              817286               38900
                 138             1985.39              119131              173.15             9162.51             0.18775             37003.4              817286               38600
                 139             2006.65              121137              178.15             6141.82             0.12232               24627              819401               38300
                 140             2033.32              123171              178.15             6141.82             0.12232             25285.9              819401               38000
                 141             2054.97              125226              178.15             6141.82             0.12232             25827.2              819401               37700
                 142             2076.79              127302              178.15             6141.82             0.12232             26378.7              819401               37400
                 143             2098.78              129401              178.15             6141.82             0.12232             26940.4              819401               37100
                 144             2120.96              131522              178.15             6141.82             0.12232             27512.8              819401               36800
                 145             2143.32              133665              178.15             6141.82             0.12232             28095.9              819401               36500
                 146             2165.86              135831              178.15             6141.82             0.12232               28690              819401               36200
                 147             2188.59              138020              178.15             6141.82             0.12232             29295.3              819401               35900
                 148             2211.51              140231              183.15             4116.98           0.0797554             19503.3              820818               35600
                 149             2238.49              142470              183.15             4116.98           0.0797554             19982.1              820818               35300
                 150             2261.84              144732              183.15             4116.98           0.0797554             20401.2              820818               35000
